iter	Passed	Remaining
422	2227	3037
423	2233	3033
424	2238	3028
425	2243	3023
426	2249	3018
427	2254	3012
428	2259	3007
429	2264	3002
430	2269	2996
431	2275	2991
432	2279	2985
433	2284	2979
434	2289	2973
435	2294	2967
436	2299	2961
437	2304	2956
438	2309	2950
439	2314	2945
440	2318	2939
441	2323	2933
442	2328	2927
443	2334	2922
444	2338	2917
445	2343	2911
446	2349	2906
447	2354	2900
448	2359	2895
449	2365	2891
450	2371	2886
451	2376	2881
452	2382	2876
453	2387	2871
454	2394	2867
455	2401	2864
456	2406	2859
457	2411	2854
458	2417	2849
459	2424	2845
460	2429	2840
461	2436	2837
462	2442	2832
463	2448	2828
464	2454	2824
465	2460	2819
466	2466	2814
467	2472	2810
468	2477	2805
469	2484	2801
470	2489	2796
471	2496	2792
472	2503	2789
473	2511	2786
474	2518	2783
475	2523	2778
476	2530	2774
477	2536	2769
478	2542	2765
479	2550	2762
480	2555	2757
481	2561	2752
482	2566	2747
483	2572	2742
484	2579	2738
485	2585	2734
486	2591	2729
487	2597	2725
488	2603	2720
489	2609	2716
490	2615	2711
491	2621	2706
492	2627	2702
493	2633	2697
494	2639	2692
495	2644	2687
496	2650	2682
497	2655	2677
498	2662	2673
499	2667	2667
500	2673	2662
501	2679	2657
502	2684	2652
503	2690	2647
504	2695	2642
505	2700	2636
506	2705	2630
507	2711	2625
508	2716	2620
509	2721	2615
510	2727	2610
511	2732	2604
512	2737	2598
513	2742	2593
514	2748	2588
515	2753	2582
516	2759	2577
517	2764	2572
518	2769	2567
519	2775	2561
520	2780	2556
521	2785	2550
522	2790	2545
523	2796	2540
524	2802	2535
525	2807	2530
526	2813	2525
527	2819	2520
528	2825	2515
529	2830	2510
530	2836	2505
531	2841	2500
532	2847	2494
533	2852	2489
534	2857	2483
535	2862	2477
536	2867	2472
537	2872	2466
538	2877	2461
539	2882	2455
540	2887	2449
541	2892	2444
542	2897	2438
543	2903	2434
544	2909	2429
545	2915	2423
546	2920	2418
547	2926	2413
548	2931	2407
549	2936	2402
550	2941	2396
551	2945	2390
552	2950	2385
553	2955	2379
554	2960	2373
555	2965	2367
556	2970	2362
557	2975	2356
558	2980	2351
559	2984	2345
560	2989	2339
561	2994	2334
562	3000	2328
563	3004	2322
564	3009	2317
565	3014	2311
566	3019	2306
567	3024	2300
568	3029	2294
569	3034	2288
570	3038	2283
571	3043	2277
572	3048	2271
573	3052	2265
574	3057	2260
575	3062	2254
576	3067	2248
577	3073	2243
578	3077	2238
579	3082	2232
580	3087	2226
581	3092	2221
582	3097	2215
583	3102	2210
584	3108	2205
585	3114	2200
586	3119	2194
587	3124	2189
588	3130	2184
589	3136	2179
590	3141	2174
591	3146	2168
592	3151	2163
593	3157	2157
594	3162	2152
595	3167	2147
596	3172	2141
597	3177	2135
598	3182	2130
599	3187	2124
600	3192	2119
601	3197	2114
602	3203	2109
603	3208	2103
604	3213	2098
605	3219	2093
606	3225	2088
607	3230	2083
608	3236	2077
609	3242	2073
610	3247	2067
611	3253	2062
612	3258	2057
613	3263	2051
614	3269	2046
615	3274	2041
616	3279	2036
617	3285	2030
618	3291	2025
619	3296	2020
620	3302	2015
621	3307	2010
622	3312	2004
623	3317	1999
624	3323	1993
625	3328	1988
626	3334	1983
627	3339	1977
628	3344	1972
629	3350	1967
630	3356	1962
631	3361	1957
632	3366	1952
633	3372	1946
634	3377	1941
635	3383	1936
636	3389	1931
637	3394	1925
638	3399	1920
639	3405	1915
640	3410	1910
641	3415	1904
642	3420	1899
643	3425	1893
644	3430	1888
645	3435	1882
646	3440	1877
647	3445	1871
