iter	RMSE
0	29.23031745
1	29.22879472
2	29.2269362
3	29.22523837
4	29.22366896
5	29.22239943
6	29.22096425
7	29.21963582
8	29.2195937
9	29.21829395
10	29.2172609
11	29.21614708
12	29.21515005
13	29.21367039
14	29.21263337
15	29.21144152
16	29.21033202
17	29.20886554
18	29.20703228
19	29.20524776
20	29.20433479
21	29.20224821
22	29.20103691
23	29.20012987
24	29.2001049
25	29.19895205
26	29.19848617
27	29.19761798
28	29.19608277
29	29.1946019
30	29.192834
31	29.19116202
32	29.18947579
33	29.18839675
34	29.18750538
35	29.18609853
36	29.18501321
37	29.18380957
38	29.18297937
39	29.1816769
40	29.18094434
41	29.1803626
42	29.1792586
43	29.1778871
44	29.17631077
45	29.17540887
46	29.17449281
47	29.17323227
48	29.17251315
49	29.17163099
50	29.17043841
51	29.16900776
52	29.16825633
53	29.1671916
54	29.16625244
55	29.16529126
56	29.16392591
57	29.16278207
58	29.16107699
59	29.16107639
60	29.15926052
61	29.15824678
62	29.15729534
63	29.15610302
64	29.15525257
65	29.15389199
66	29.15282537
67	29.15168431
68	29.15087506
69	29.15012469
70	29.14936713
71	29.14818629
72	29.14746227
73	29.14645835
74	29.1455312
75	29.14432466
76	29.1429554
77	29.14220113
78	29.14091032
79	29.13969994
80	29.13895029
81	29.13838127
82	29.13692625
83	29.13586088
84	29.13477084
85	29.13377693
86	29.13265037
87	29.13120641
88	29.13020255
89	29.12930678
90	29.1283007
91	29.12691338
92	29.12634874
93	29.12545527
94	29.12465832
95	29.12327647
96	29.12324298
97	29.12263068
98	29.12201989
99	29.12079798
100	29.11978769
101	29.11886044
102	29.11830407
103	29.11707237
104	29.11589328
105	29.11511259
106	29.11464282
107	29.1133668
108	29.11214958
109	29.11114896
110	29.11021849
111	29.10919059
112	29.10804011
113	29.10639642
114	29.10549031
115	29.10427498
116	29.10365635
117	29.10254868
118	29.10180015
119	29.10102237
120	29.10006546
121	29.09896158
122	29.09819952
123	29.09663268
124	29.09547077
125	29.0946243
126	29.09352022
127	29.09278888
128	29.09252235
129	29.09125221
130	29.09055437
131	29.08943941
132	29.08841115
133	29.08735643
134	29.08608781
135	29.08505471
136	29.0840339
137	29.08294844
138	29.08175777
139	29.08107869
140	29.08012226
141	29.07930255
142	29.07836449
143	29.07730426
144	29.07620916
145	29.07519498
146	29.07427483
147	29.07305606
148	29.07205091
149	29.07092703
150	29.06924214
151	29.06806802
152	29.06710117
153	29.06562353
154	29.06446592
155	29.06305854
156	29.06211698
157	29.06135304
158	29.06052136
159	29.05951864
160	29.05810094
161	29.05684914
162	29.05572301
163	29.05461284
164	29.05337016
165	29.05237456
166	29.05100958
167	29.04964094
168	29.04873896
169	29.04781501
170	29.04709166
171	29.04612495
172	29.04524514
173	29.04415238
174	29.04283164
175	29.04187267
176	29.04021884
177	29.03945256
178	29.03837765
179	29.03699519
180	29.03598604
181	29.03518643
182	29.03413168
183	29.03344507
184	29.03224567
185	29.03111503
186	29.03025823
187	29.02883936
188	29.02803575
189	29.02659336
190	29.02588478
191	29.02496733
192	29.02409022
193	29.02274786
194	29.02178278
195	29.02080848
196	29.02011142
197	29.01937165
198	29.01814481
199	29.0172642
200	29.01566879
201	29.01438502
202	29.01310106
203	29.01203633
204	29.01060687
205	29.00964077
206	29.00885928
207	29.00724611
208	29.00600002
209	29.00511329
210	29.00400366
211	29.00311479
212	29.00205053
213	29.00063225
214	28.999193
215	28.99796445
216	28.99693779
217	28.995545
218	28.99440292
219	28.99316729
220	28.99182788
221	28.99098925
222	28.99012778
223	28.98905635
224	28.98808462
225	28.98708653
226	28.98583744
227	28.98490429
228	28.9837798
229	28.98281892
230	28.98133799
231	28.97986994
232	28.9787863
233	28.97793864
234	28.97707603
235	28.9763226
236	28.97549048
237	28.97439655
238	28.97323462
239	28.97224382
240	28.97131373
241	28.97016762
242	28.96892941
243	28.9678123
244	28.96674086
245	28.96543932
246	28.96429727
247	28.96302777
248	28.96234432
249	28.96109718
250	28.9602638
251	28.95964191
252	28.95892765
253	28.95798875
254	28.95685319
255	28.95600921
256	28.95497114
257	28.9537968
258	28.9529158
259	28.95198143
260	28.95122231
261	28.95042489
262	28.94921264
263	28.94781715
264	28.94649903
265	28.9458958
266	28.94517996
267	28.94409797
268	28.94314236
269	28.94219727
270	28.94109151
271	28.94037858
272	28.93946414
273	28.93855036
274	28.93769099
275	28.93688744
276	28.93581939
277	28.93527312
278	28.93429398
279	28.93349788
280	28.93268185
281	28.93170851
282	28.93051427
283	28.92951676
284	28.9285969
285	28.92761902
286	28.92655186
287	28.92570438
288	28.92517672
289	28.92382129
290	28.92288268
291	28.92190056
292	28.92055864
293	28.91940187
294	28.91815284
295	28.91687789
296	28.91561186
297	28.9148826
298	28.91373887
299	28.91274496
300	28.91188456
301	28.91099765
302	28.91029227
303	28.90951545
304	28.90868219
305	28.90749752
306	28.90659551
307	28.90539609
308	28.9042136
309	28.90285037
310	28.90193186
311	28.90100355
312	28.90012855
313	28.89926016
314	28.89837366
315	28.89747848
316	28.89677056
317	28.89566547
318	28.89498867
319	28.89431038
320	28.89333297
321	28.89237239
322	28.89120083
323	28.89018679
324	28.88927167
325	28.88858716
326	28.88748878
327	28.8865447
328	28.88571258
329	28.88474574
330	28.8840231
331	28.88287696
332	28.88163814
333	28.88079618
334	28.87963736
335	28.87910358
336	28.87844227
337	28.87758664
